Case Number,Date,Type,Country,Sex ,Age,Fatal (Y/N)
1907.02.03,1907-02-03,Unprovoked,AUSTRALIA,M,18,Y
1907.02.05,1907-02-05,Unprovoked,NEW ZEALAND,M,55,Y
1907.02.09,1907-02-09,Unprovoked,PHILIPPINES,M,0,N
1907.03.07,1907-03-07,Unprovoked,MALTA,M,0,Y
1907.00.00.b,1907-03-21,Unprovoked,VIETNAM,M,20,N
1907.00.00.a,1907-03-21,Unprovoked,USA,M,0,Y
1907.03.26,1907-03-26,Unprovoked,USA,M,0,Y
1907.04.20,1907-04-20,Unprovoked,MEXICO,M,0,N
1907.07.04.R,1907-07-04,Unknown,AUSTRALIA,M,0,Y
1907.07.00,1907-07-07,Unprovoked,USA,M,0,N
1907.07.14.R,1907-07-14,Unprovoked,CROATIA,F,0,Y
1907.08.08.R,1907-08-08,Unprovoked,USA,M,0,N
1907.08.12.b..R,1907-08-12,Unprovoked,CROATIA,F,0,Y
1907.08.12.a..R,1907-08-12,Unprovoked,CROATIA,M,0,Y
1907.09.11,1907-09-11,Unprovoked,CROATIA,F,0,Y
1907.09.18.R,1907-09-19,Unknown,ENGLAND,M,0,N
1907.10.08,1907-10-08,Unprovoked,USA,M,0,N
1907.10.12,1907-10-12,Unknown,HAITI,M,0,N
1907.10.14,1907-10-14,Unprovoked,AUSTRALIA,M,0,N
1907.10.16.R,1907-10-16,Unprovoked,CHINA,M,0,N
1907.10.16.R,1907-10-16,Unprovoked,CHINA,M,0,Y
1907.10.18.R,1907-10-18,Unprovoked,AUSTRALIA,M,0,Y
1907.12.21,1907-12-21,Unprovoked,AUSTRALIA,M,0,Y
1908.01.08,1908-01-08,Unprovoked,USA,M,0,Y
1908.05.10,1908-05-10,Unknown,USA,M,0,Y
1908.06.08,1908-06-08,Sea Disaster,USA,M,0,Y
1908.06.18,1908-06-18,Unprovoked,EGYPT,M,0,Y
1908.07.08.R,1908-07-08,Unprovoked,CROATIA,F,0,Y
1908.07.18.R,1908-07-18,Unknown,SPAIN,UNIDENTIFIED,0,Y
1908.08.28.R,1908-08-28,Unprovoked,SPAIN,M,0,Y
1908.09.05,1908-09-05,Unprovoked,USA,M,0,N
1908.09.21,1908-09-21,Unprovoked,AUSTRALIA,M,0,Y
1908.12.16.R,1908-12-16,Unprovoked,MEXICO,M,0,Y
1908.12.31,1908-12-31,Unprovoked,SOUTH AFRICA,M,16,Y
1909.01.00,1909-01-09,Unknown,ITALY,UNIDENTIFIED,0,Y
1909.03.06,1909-03-06,Sea Disaster,SOUTH AFRICA,F,0,Y
1909.00.00,1909-03-23,Unprovoked,AUSTRALIA,UNIDENTIFIED,0,N 
1909.04.09.R,1909-04-09,Unprovoked,TUNISIA,M,0,Y
1909.04.10,1909-04-10,Unknown,USA,F,19,Y
1909.04.27.R,1909-04-27,Provoked,SPAIN,M,0,N
1909.06.18,1909-06-18,Sea Disaster,AUSTRALIA,M,0,Y
1909.06.26.a.R,1909-06-26,Unprovoked,MEXICO,F,0,Y
1909.06.26.b.R,1909-06-26,Unprovoked,SOUTH AFRICA,M,0,Y
1909.07.15,1909-07-15,Unprovoked,USA,M,16,N
1909.07.24,1909-07-24,Unprovoked,USA,M,0,N
1909.08.13,1909-08-13,Unprovoked,USA,M,0,Y
1909.09.04.R,1909-09-04,Provoked,USA,M,0,N
1909.12.26.R,1909-11-26,Unprovoked,USA,M,0,N
1909.12.05,1909-12-05,Provoked,AUSTRALIA,M,0,N
1909.12.15.R,1909-12-15,Unprovoked,AUSTRALIA,M,0,Y
1910.01.26,1910-01-26,Unprovoked,AUSTRALIA,M,0,Y
