Case Number,Date,Type,Country,Sex ,Age,Fatal (Y/N)
1948.08.03,1948-08-03,Unprovoked,IRAN,M,15,N
1948.08.19,1948-08-19,Unprovoked,IRAN,M,13,Y
1948.09.02,1948-09-02,Unprovoked,IRAN,F,60,Y
1950.00.00.c,1950-05-03,Unprovoked,NEW CALEDONIA,M,0,N
1948.09.17.R,1948-09-17,Unprovoked,TURKEY,M,0,Y
1948.09.19.b,1948-09-19,Unprovoked,USA,M,0,N
1948.09.19.a,1948-09-19,Unprovoked,USA,M,0,N
1948.09.22,1948-09-22,Unprovoked,GREECE,M,17,Y
1948.11.18,1948-11-18,Unprovoked,AUSTRALIA,M,41,N
1961.00.00.d,1961-05-14,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1948.12.10,1948-12-10,Unprovoked,AUSTRALIA,M,0,N
1948.12.14.b,1948-12-14,Unprovoked,IRAN,M,19,N
1948.12.14.a,1948-12-14,Unprovoked,CUBA,M,14,N
1948.12.26,1948-12-26,Unprovoked,AUSTRALIA,M,28,Y
1948.12.27,1948-12-27,Unprovoked,AUSTRALIA,M,17,Y
1949.01.05,1949-01-05,Unknown,AUSTRALIA,UNIDENTIFIED,0,UNKNOWN
1949.01.13,1949-01-13,Unprovoked,AUSTRALIA,M,0,N
1949.01.14,1949-01-14,Unknown,AUSTRALIA,M,32,N
1949.01.23,1949-01-23,Unprovoked,AUSTRALIA,M,20,Y
1949.04.13,1949-04-13,Unprovoked,MEXICO,M,0,N
1949.04.17,1949-04-17,Unprovoked,AUSTRALIA,M,13,Y
1949.04.18,1949-04-18,Provoked,AUSTRALIA,M,0,N
1964.02.14.b,1964-02-14,Unprovoked,NEW CALEDONIA,M,15,Y
1976.09.22,1976-09-22,Sea Disaster,NEW CALEDONIA,UNIDENTIFIED,0,N
1949.00.00.b,1949-05-02,Unprovoked,PAPUA NEW GUINEA,M,0,N
1949.00.00.e,1949-05-02,Unprovoked,PAPUA NEW GUINEA,M,0,N
1949.00.00.c,1949-05-02,Unprovoked,PAPUA NEW GUINEA,M,18,Y
1949.00.00.d,1949-05-02,Unprovoked,PAPUA NEW GUINEA,M,0,N
1949.05.13,1949-05-13,Provoked,AUSTRALIA,M,26,N
1949.05.16,1949-05-16,Unprovoked,AUSTRALIA,F,22,N
1949.06.13,1949-06-13,Sea Disaster,CHINA,M,0,Y
1949.07.29,1949-07-07,Unprovoked,IRAN,M,18,N
1949.07.16,1949-07-16,Provoked,USA,M,16,N
1949.07.25,1949-07-25,Unprovoked,USA,M,16,N
1949.07.28,1949-07-28,Unprovoked,IRAN,M,18,Y
1949.08.10.R,1949-08-10,Unprovoked,ITALY,M,21,N
1949.08.16,1949-08-16,Unprovoked,AUSTRALIA,M,18,N
1949.08.17,1949-08-17,Unknown,ITALY,M,17,N
1949.08.28.a,1949-08-28,Unprovoked,AUSTRALIA,M,34,Y
1949.08.28.b,1949-08-28,Unprovoked,AUSTRALIA,M,21,N
1949.11.12,1949-11-12,Unknown,AUSTRALIA,M,0,Y
1949.11.20,1949-11-20,Unprovoked,AUSTRALIA,M,36,N
1949.12.00.a,1949-12-01,Unprovoked,AUSTRALIA,M,35,N
1950.01.12.R,1950-01-12,Unprovoked,AUSTRALIA,M,0,N
1950.01.16,1950-01-16,Unknown,USA,M,0,Y
1950.02.11,1950-02-11,Unprovoked,SOUTH AFRICA,M,14,Y
1950.02.18.R,1950-02-18,Unprovoked,AUSTRALIA,M,0,N
1950.03.01,1950-03-01,Unknown,AUSTRALIA,M,0,Y
1950.03.08,1950-03-08,Unprovoked,SOUTH AFRICA,M,20,Y
1950.03.26,1950-03-26,Unprovoked,SOUTH AFRICA,M,0,N
1950.04.09.b,1950-04-09,Sea Disaster,AUSTRALIA,M,50,Y
1950.04.09.a,1950-04-09,Unprovoked,SOUTH AFRICA,M,0,N
1950.05.01,1950-05-01,Boating,ITALY,M,0,N
1950.00.00.l,1950-05-03,Unprovoked,SRI LANKA,M,0,N
1950.00.00.f,1950-05-03,Unprovoked,PANAMA,M,0,N
1950.00.00.h,1950-05-03,Unprovoked,USA,M,0,N
1950.00.00.k,1950-05-03,Unprovoked,SRI LANKA,M,0,N
1950.00.00.m,1950-05-03,Boating,AUSTRALIA,M,0,N
1950.00.00.d,1950-05-03,Unprovoked,SINGAPORE,M,0,Y
1977.02.00,1977-02-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1950.05.24,1950-05-24,Unprovoked,SOUTH AFRICA,M,27,N
1950.06.06,1950-06-06,Sea Disaster,USA,M,25,Y
1950.06.25,1950-06-25,Unprovoked,USA,M,16,N
1950.07.00,1950-07-01,Unprovoked,USA,M,21,N
1950.07.09,1950-07-09,Unknown,USA,M,0,Y
1950.07.10,1950-07-10,Unprovoked,USA,M,11,N
1950.07.14,1950-07-15,Unprovoked,CUBA,M,30,N
1950.07.19,1950-07-19,Provoked,ITALY,UNIDENTIFIED,0,N
1950.07.21,1950-07-21,Unprovoked,JAPAN,M,19,Y
1950.07.27.R,1950-07-27,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1950.08.00,1950-08-01,Unprovoked,SAUDI ARABIA,M,0,N
1950.08.06,1950-08-06,Provoked,EL SALVADOR,M,27,N
1950.10.04,1950-10-04,Unprovoked,AUSTRALIA,M,25,N
1950.10.08,1950-10-28,Unprovoked,USA,M,31,N
1950.11.12,1950-11-12,Boating,AUSTRALIA,M,18,N
1950.11.25,1950-11-25,Unprovoked,AUSTRALIA,M,21,N
1950.11.29,1950-11-29,Provoked,AUSTRALIA,M,17,N
1950.12.16,1950-12-16,Unprovoked,AUSTRALIA,M,20,Y
1950.12.19.R,1950-12-19,Unprovoked,AUSTRALIA,UNIDENTIFIED,0,N
1950.12.31,1950-12-31,Unprovoked,AUSTRALIA,M,19,N
1951.01.03,1951-01-03,Unknown,AUSTRALIA,M,0,Y
1951.01.21,1951-01-21,Unprovoked,SOUTH AFRICA,M,19,Y
1951.02.01,1951-02-01,Unprovoked,AUSTRALIA,M,14,N
1951.02.03,1951-02-03,Unprovoked,AUSTRALIA,M,20,N
1951.02.19,1951-02-19,Unprovoked,SOUTH AFRICA,M,31,N
1951.03.15,1951-03-15,Unprovoked,SOUTH AFRICA,M,19,N
1951.03.26,1951-03-26,Provoked,AUSTRALIA,M,23,N
1979.03.00,1979-03-01,Unprovoked,NEW CALEDONIA,M,0,Y
1951.05.09.R,1951-05-09,Provoked,ITALY,UNIDENTIFIED,0,N
1951.05.22,1951-05-22,Unprovoked,MEXICO,M,16,N
1951.06.00,1951-06-01,Unprovoked,FRENCH POLYNESIA,M,39,N
1951.06.25,1951-06-25,Unprovoked,USA,M,0,Y
1951.07.11,1951-07-11,Unprovoked,PACIFIC OCEAN,M,40,N
1951.07.19.R,1951-07-19,Unprovoked,USA,M,13,N
1951.08.16.R,1951-08-16,Unprovoked,ITALY,M,0,N
1951.08.17.b,1951-08-17,Unprovoked,GREECE,M,18,N
1951.08.17.a,1951-08-17,Unprovoked,GREECE,F,16,Y
1951.09.02-R,1951-09-02,Unprovoked,AUSTRALIA,M,56,Y
1951.09.03.R,1951-09-03,Unprovoked,ITALY,M,0,N
1951.09.29,1951-09-29,Unprovoked,ITALY,F,21,Y
1979.05.00.b,1979-05-01,Unprovoked,NEW CALEDONIA,M,0,Y
1951.10.22,1951-10-22,Unprovoked,AUSTRALIA,M,42,Y
1951.11.23.R,1951-11-23,Unprovoked,PHILIPPINES,M,0,Y
1951.11.28.b,1951-11-28,Unprovoked,JAMAICA,M,81,N
1951.11.28.a,1951-11-28,Unprovoked,SOUTH AFRICA,M,24,N
1951.11.29,1951-11-29,Unprovoked,SOUTH AFRICA,M,23,N
1951.12.06,1951-12-06,Unprovoked,AUSTRALIA,M,21,Y
1951.12.16,1951-12-16,Provoked,AUSTRALIA,M,18,N
1951.12.21,1951-12-21,Unprovoked,MOZAMBIQUE,M,15,Y
1952.01.07,1952-01-07,Unprovoked,AUSTRALIA,M,0,N
1952.01.23,1952-01-23,Provoked,MAURITIUS,M,0,N
1979.05.00.c,1979-05-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1952.04.00,1952-04-01,Provoked,SUDAN,M,0,N
1952.04.06,1952-04-06,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1952.05.00,1952-05-01,Unprovoked,INDIA,M,0,N
1952.00.00.a,1952-05-05,Unprovoked,USA,M,0,Y
1952.00.00.d,1952-05-05,Unprovoked,PAPUA NEW GUINEA,M,0,N
1952.00.00.b,1952-05-05,Unprovoked,PAPUA NEW GUINEA,M,27,Y
1952.00.00.c,1952-05-05,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1952.05.07.R,1952-05-07,Unprovoked,AUSTRALIA,M,0,N
1952.05.27,1952-05-27,Unprovoked,USA,M,0,N
1952.07.05,1952-07-05,Unprovoked,USA,M,0,N
1952.07.13,1952-07-13,Provoked,USA,M,34,N
1952.07.27.d,1952-07-27,Boating,USA,UNIDENTIFIED,0,N
1952.07.27.b,1952-07-27,Provoked,USA,M,34,N
1952.07.27.c,1952-07-27,Provoked,USA,M,43,N
1952.07.27.a,1952-07-27,Sea Disaster,USA,M,0,Y
1952.08.03,1952-08-03,Unprovoked,USA,M,0,Y
1952.08.04,1952-08-04,Provoked,ITALY,M,17,N
1952.08.05,1952-08-05,Provoked,ITALY,UNIDENTIFIED,19,Y
1952.08.06,1952-08-06,Unknown,SOUTH AFRICA,M,18,Y
1952.10.12,1952-10-12,Unprovoked,PAPUA NEW GUINEA,M,0,N
1952.12.03,1952-12-03,Unprovoked,USA,M,40,Y
1952.12.07,1952-12-07,Unprovoked,USA,M,17,Y
1952.12.14,1952-12-14,Unknown,GUATEMALA,F,0,Y
1952.12.21,1952-12-21,Unprovoked,AUSTRALIA,M,25,N
1952.12.24,1952-12-24,Unprovoked,AUSTRALIA,M,0,N
1953.01.20,1953-01-20,Provoked,AUSTRALIA,M,61,N
1953.02.00,1953-02-01,Unprovoked,AUSTRALIA,M,0,N
1953.02.15,1953-02-15,Unprovoked,AUSTRALIA,M,25,N
1953.02.18,1953-02-18,Provoked,USA,M,0,N
1953.03.00.a,1953-03-01,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1953.03.22,1953-03-01,Unprovoked,AUSTRALIA,M,23,N
1953.03.00.c,1953-03-01,Sea Disaster,INDIAN OCEAN,UNIDENTIFIED,0,Y
1953.03.19.R,1953-03-19,Unprovoked,AUSTRALIA,M,0,N
1953.04.00.a,1953-04-01,Unprovoked,IRAN,M,0,N
1953.04.00.b,1953-04-01,Unprovoked,IRAN,M,0,N
1953.04.04,1953-04-04,Unprovoked,USA,F,19,N
1953.04.07,1953-04-07,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1953.00.00.c,1953-05-06,Unprovoked,AUSTRALIA,M,0,N
1953.00.00.a,1953-05-06,Unprovoked,USA,F,0,N
1953.00.00.b,1953-05-06,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1953.06.00,1953-06-01,Provoked,AUSTRALIA,M,0,N
1953.07.00,1953-07-01,Unprovoked,PANAMA,M,19,N
1953.07.04,1953-07-04,Unprovoked,USA,M,0,N
1953.07.09,1953-07-09,Boating,CANADA,M,0,N
1953.07.11,1953-07-11,Sea Disaster,PACIFIC OCEAN,UNIDENTIFIED,0,N
1953.07.15,1953-07-15,Unprovoked,USA,F,26,N
1953.07.16,1953-07-16,Provoked,USA,M,0,N
1953.07.26,1953-07-26,Unprovoked,USA,M,15,Y
1953.07.31,1953-07-31,Unprovoked,MEXICO,F,18,Y
1953.08.00,1953-08-01,Unknown,MEXICO,M,19,N
1953.09.02,1953-09-02,Unprovoked,USA,M,0,N
1953.09.03.R,1953-09-03,Unprovoked,USA,M,15,N
1953.09.18,1953-09-18,Sea Disaster,USA,M,0,N
1953.09.20.R,1953-09-20,Unprovoked,USA,M,0,N
1953.09.27,1953-09-27,Unprovoked,PHILIPPINES,M,23,Y
1953.10.00,1953-10-01,Provoked,AUSTRALIA,M,0,N
1953.12.00,1953-12-01,Unprovoked,AUSTRALIA,M,0,N
1953.12.13,1953-12-13,Unprovoked,AUSTRALIA,M,16,N
1953.12.22,1953-12-22,Unprovoked,SOUTH AFRICA,M,23,N
1953.12.30,1953-12-30,Unprovoked,SOUTH AFRICA,F,0,N
1954.01.15,1954-01-15,Unprovoked,PAPUA NEW GUINEA,M,26,N
1954.01.22.b,1954-01-22,Unprovoked,AUSTRALIA,M,30,N
1954.01.22.a,1954-01-22,Unprovoked,ARGENTINA,M,18,N
1954.01.30,1954-01-30,Unprovoked,AUSTRALIA,M,0,N
1954.02.27,1954-02-27,Unprovoked,AUSTRALIA,M,23,Y
1982.03.00,1982-03-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1954.04.08,1954-04-08,Unknown,USA,M,0,Y
1954.05.00,1954-05-01,Unprovoked,PAPUA NEW GUINEA,UNIDENTIFIED,0,N
1954.00.00.b,1954-05-07,Unprovoked,USA,M,0,N
1954.00.00.e,1954-05-07,Unprovoked,IRAN,M,0,Y
1954.00.00.c,1954-05-07,Unprovoked,MEXICO,M,0,Y
1954.00.00.a,1954-05-07,Unprovoked,PAPUA NEW GUINEA,M,12,N
1954.00.00.d,1954-05-07,Unprovoked,MARTINIQUE,M,0,N
1954.05.26.R,1954-05-26,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1954.06.00,1954-06-01,Unprovoked,HONG KONG,M,0,Y
1954.06.27,1954-06-27,Unprovoked,AUSTRALIA,M,30,N
1954.06.29,1954-06-29,Provoked,USA,M,35,N
1954.07.01.R,1954-07-01,Unknown,CROATIA,UNIDENTIFIED,0,UNKNOWN
1954.07.02.R,1954-07-02,Unprovoked,GREECE,M,0,Y
1954.07.03,1954-07-03,Unprovoked,BERMUDA,M,22,N
1954.07.04.R,1954-07-04,Unprovoked,USA,UNIDENTIFIED,0,N
1954.07.15,1954-07-15,Unprovoked,THE BALKANS,M,0,Y
1954.07.27,1954-07-27,Boating,ITALY,M,0,UNKNOWN
1954.07.28,1954-07-28,Unprovoked,SINGAPORE,M,28,Y
1954.07.30,1954-07-30,Unprovoked,ECUADOR,M,34,N
1954.08.12.b,1954-08-12,Provoked,CUBA,M,0,N
1954.08.12.a,1954-08-12,Provoked,CUBA,M,0,N
1954.08.19,1954-08-19,Unprovoked,ITALY,M,27,N
1954.09.04,1954-09-04,Unprovoked,AUSTRALIA,M,35,Y
1954.09.15,1954-09-15,Unprovoked,HONG KONG,M,20,Y
1954.09.21,1954-09-21,Unprovoked,USA,M,35,N
1954.10.02.a,1954-10-02,Unknown,JAPAN,M,13,Y
1954.10.02.b,1954-10-02,Boating,CROATIA,UNIDENTIFIED,0,UNKNOWN
1982.07.00,1982-07-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1954.10.07,1954-10-07,Sea Disaster,USA,M,0,Y
1954.11.20,1954-11-20,Unprovoked,USA,M,0,N
1954.12.04,1954-12-04,Unprovoked,SOUTH AFRICA,M,16,N
1954.12.09,1954-12-09,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1954.12.11,1954-12-11,Unprovoked,AUSTRALIA,M,23,Y
1954.12.29,1954-12-29,Unprovoked,AMERICAN SAMOA,M,27,Y
1955.01.15,1955-01-15,Unprovoked,SOUTH AFRICA,M,0,Y
1955.01.17,1955-01-17,Unprovoked,AUSTRALIA,M,13,Y
1955.02.00,1955-02-01,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1955.02.01.,1955-02-01,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1955.02.04,1955-02-04,Unprovoked,INDIA,M,25,N
1955.02.05,1955-02-05,Unprovoked,AUSTRALIA,M,25,Y
1955.02.06,1955-02-06,Unprovoked,USA,M,19,N
1955.02.10,1955-02-10,Unprovoked,USA,M,0,N
1955.03.00.a,1955-03-01,Provoked,AUSTRALIA,M,25,N
1955.03.00.b,1955-03-01,Unprovoked,PAPUA NEW GUINEA,M,0,N
1955.03.09,1955-03-09,Unprovoked,AUSTRALIA,M,22,Y
1955.04.00,1955-04-01,Unprovoked,USA,M,0,N
1955.04.12,1955-04-12,Unprovoked,PAPUA NEW GUINEA,M,0,N
1955.04.13.R,1955-04-13,Unprovoked,PAPUA NEW GUINEA,M,0,N
1955.05.00,1955-05-01,Unprovoked,PAPUA NEW GUINEA,M,0,N
1955.00.00.c,1955-05-08,Unknown,USA,M,0,N
1955.00.00.f,1955-05-08,Unprovoked,USA,UNIDENTIFIED,0,UNKNOWN
1955.00.00.e,1955-05-08,Unprovoked,MADAGASCAR,M,16,Y
1955.05.08,1955-05-08,Provoked,USA,M,28,N
1955.00.00.a,1955-05-08,Unprovoked,PAPUA NEW GUINEA,M,0,N
1955.00.00.d,1955-05-08,Provoked,CUBA,M,0,N
1955.07.23,1955-06-23,Unprovoked,USA,M,13,N
1955.07.07,1955-07-07,Unprovoked,YEMEN,F,0,Y
1955.07.15,1955-07-15,Unprovoked,MONTENEGRO,M,0,Y
1955.07.25,1955-07-25,Unprovoked,JAPAN,M,22,Y
1955.08.00.a,1955-08-01,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1983.03.00,1983-03-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1955.08.04.R,1955-08-04,Provoked,USA,M,0,N
1955.08.08,1955-08-08,Unprovoked,AMERICAN SAMOA,M,28,Y
1955.08.26,1955-08-26,Unprovoked,CROATIA,F,32,Y
1955.08.30.a,1955-08-30,Provoked,USA,M,25,N
1955.08.30.b,1955-08-30,Unprovoked,JAPAN,M,0,Y
1955.09.03,1955-09-03,Unprovoked,USA,M,0,N
1955.09.04,1955-09-04,Unprovoked,USA,M,16,N
1955.09.20,1955-09-20,Unprovoked,USA,M,0,N
1985.01.00.b,1985-01-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1986.12.00,1986-12-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1955.10.16,1955-10-16,Provoked,AUSTRALIA,M,28,N
1955.11.00,1955-11-01,Unprovoked,PAPUA NEW GUINEA,M,0,N
1955.11.16,1955-11-16,Unprovoked,PAPUA NEW GUINEA,M,8,N
1955.12.11,1955-12-11,Boating,USA,UNIDENTIFIED,0,N
1955.12.31,1955-12-31,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1956.01.05,1956-01-05,Unprovoked,AUSTRALIA,M,25,N
1956.01.16,1956-01-16,Unprovoked,COSTA RICA,M,33,Y
1956.01.16.R,1956-01-16,Unprovoked,AUSTRALIA,M,18,N
1956.02.10.R,1956-02-10,Unprovoked,AUSTRALIA,M,8,N
1956.02.26,1956-02-26,Unprovoked,AUSTRALIA,M,15,Y
1956.03.00.b,1956-03-01,Unprovoked,AUSTRALIA,M,21,N
1956.03.04,1956-03-04,Unprovoked,AUSTRALIA,M,26,Y
1956.03.11,1956-03-11,Unprovoked,AUSTRALIA,M,13,N
1956.03.25,1956-03-25,Boating,ITALY,UNIDENTIFIED,0,UNKNOWN
1956.05.00,1956-05-01,Unprovoked,AUSTRALIA,UNIDENTIFIED,0,N
1956.05.07,1956-05-07,Unprovoked,CUBA,M,30,Y
1956.00.00.b,1956-05-09,Unprovoked,PAPUA NEW GUINEA,M,0,N
1956.00.00.a,1956-05-09,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1956.00.00.d,1956-05-09,Unprovoked,USA,F,14,UNKNOWN
1956.00.00.f,1956-05-09,Unprovoked,GREECE,F,15,Y
1956.00.00.c,1956-05-09,Unprovoked,PAPUA NEW GUINEA,UNIDENTIFIED,0,N
1956.00.00.e,1956-05-09,Provoked,USA,M,0,N
1956.00.00.h,1956-05-09,Unprovoked,PAPUA NEW GUINEA,M,0,N
1956.05.26.R,1956-05-26,Boating,SOUTH AFRICA,UNIDENTIFIED,0,N
1993.03.00,1993-03-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,N
1956.06.22,1956-06-22,Boating,PORTUGAL,M,23,Y
1956.06.28,1956-06-28,Unprovoked,AUSTRALIA,M,0,N
1956.07.12,1956-07-12,Unprovoked,USA,M,7,N
1956.07.17,1956-07-17,Unprovoked,USA,F,38,N
1956.07.20,1956-07-20,Unprovoked,MALTA,M,40,Y
1956.07.26,1956-07-26,Provoked,USA,M,38,N
1956.07.28,1956-07-28,Provoked,USA,M,13,Y
1993.08.00.b,1993-08-01,Unprovoked,NEW CALEDONIA,M,0,Y
1994.02.00,1994-02-01,Unprovoked,NEW CALEDONIA,UNIDENTIFIED,0,Y
1956.08.01,1956-08-01,Unprovoked,SOUTH AFRICA,M,23,N
1956.08.00.b,1956-08-01,Unprovoked,PAPUA NEW GUINEA,M,0,N
1956.08.00.a,1956-08-01,Unprovoked,PAPUA NEW GUINEA,M,0,N
1956.08.00.c,1956-08-01,Boating,MALTA,UNIDENTIFIED,0,N
1956.08.15.b,1956-08-15,Provoked,AUSTRALIA,M,0,N
1956.08.15.a,1956-08-15,Unprovoked,USA,M,10,N
1956.08.15.R,1956-08-15,Unprovoked,USA,M,13,Y
1956.08.20,1956-08-20,Unprovoked,PAPUA NEW GUINEA,M,0,N
1956.08.25,1956-08-25,Unprovoked,PAPUA NEW GUINEA,M,34,Y
1956.09.00.b,1956-09-01,Unprovoked,MAYOTTE,M,0,Y
1956.09.00.a,1956-09-01,Unprovoked,ITALY,M,0,N
1956.09.23,1956-09-23,Unprovoked,USA,M,27,N
1956.10.00,1956-10-01,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1956.10.07,1956-10-07,Unprovoked,SENEGAL,M,19,N
1956.10.20,1956-10-20,Unprovoked,PAPUA NEW GUINEA,M,0,N
1956.10.27,1956-10-27,Unprovoked,SOUTH AFRICA,M,29,N
1956.12.09,1956-12-09,Provoked,NEW ZEALAND,M,70,N
1956.12.15.R,1956-12-15,Unprovoked,GABON,M,0,Y
1956.12.24,1956-12-24,Unprovoked,PAPUA NEW GUINEA,M,16,Y
1956.12.26,1956-12-26,Unprovoked,PAPUA NEW GUINEA,M,19,Y
1957.01.05,1957-01-05,Unprovoked,SOUTH AFRICA,M,12,Y
1957.02.00,1957-02-01,Unprovoked,USA,M,0,N
1957.02.02,1957-02-02,Unprovoked,AUSTRALIA,M,0,UNKNOWN
1957.02.05,1957-02-05,Unprovoked,USA,M,0,N
1957.02.24,1957-02-24,Unprovoked,FIJI,M,0,N
1957.04.07.b,1957-04-07,Unprovoked,PAPUA NEW GUINEA,M,17,N
1957.04.07.a,1957-04-07,Unprovoked,SOLOMON ISLANDS,M,15,N
1957.04.13,1957-04-13,Unprovoked,AUSTRALIA,M,22,N
1957.04.22,1957-04-22,Provoked,USA,M,17,N
1957.04.23,1957-04-23,Unprovoked,AUSTRALIA,M,15,N
1957.04.28,1957-04-28,Unprovoked,USA,M,25,Y
1957.05.00,1957-05-01,Unprovoked,USA,M,0,N
1957.05.07,1957-05-07,Unprovoked,SOLOMON ISLANDS,M,0,N
1957.00.00.a,1957-05-10,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1957.00.00.e,1957-05-10,Unprovoked,FIJI,M,30,N
1957.00.00.d,1957-05-10,Unprovoked,IRAN,M,0,N
1957.00.00.c,1957-05-10,Unprovoked,IRAN,M,0,N
1957.00.00.f,1957-05-10,Unprovoked,USA,M,0,N
1957.00.00.k,1957-05-10,Unknown,SRI LANKA,M,0,Y
1957.00.00.g,1957-05-10,Unprovoked,CUBA,M,18,Y
1957.00.00.j,1957-05-10,Unprovoked,USA,UNIDENTIFIED,0,N
1957.00.00.b,1957-05-10,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1957.00.00.h,1957-05-10,Boating,CUBA,UNIDENTIFIED,0,N
1957.05.11,1957-05-11,Unprovoked,AUSTRALIA,M,28,N
1957.06.21,1957-06-21,Unknown,CUBA,UNIDENTIFIED,0,N
1957.07.09,1957-07-09,Unprovoked,AUSTRALIA,M,36,N
1957.07.15,1957-07-15,Unprovoked,USA,M,57,Y
1957.07.24,1957-07-24,Provoked,USA,M,0,N
1957.08.00,1957-08-01,Provoked,USA,M,0,N
1957.09.02,1957-09-02,Unprovoked,MARSHALL ISLANDS,M,0,N
1957.10.23,1957-10-23,Unprovoked,SOLOMON ISLANDS,F,28,Y
1957.10.24,1957-10-24,Unprovoked,SOLOMON ISLANDS,M,22,Y
1957.11.04.R,1957-11-04,Boating,AUSTRALIA,UNIDENTIFIED,0,N
1957.11.08,1957-11-08,Sea Disaster,PACIFIC OCEAN,UNIDENTIFIED,0,N
1957.12.18,1957-12-18,Unprovoked,SOUTH AFRICA,M,16,N
1957.12.20,1957-12-20,Unprovoked,SOUTH AFRICA,M,15,Y
1957.12.23,1957-12-23,Unprovoked,SOUTH AFRICA,M,23,Y
1957.12.26,1957-12-26,Unprovoked,SOUTH AFRICA,M,20,N
1957.12.30,1957-12-30,Unprovoked,SOUTH AFRICA,F,14,N
1957.12.31,1957-12-31,Unprovoked,AUSTRALIA,M,0,N
1958.01.09,1958-01-09,Unprovoked,SOUTH AFRICA,M,0,Y
1958.01.09.R,1958-01-09,Unknown,JAPAN,M,50,Y
1958.01.19,1958-01-19,Unprovoked,AUSTRALIA,M,14,N
1958.01.27,1958-01-27,Unprovoked,AUSTRALIA,M,17,N
1958.02.01,1958-02-01,Provoked,USA,M,18,N
1958.02.19,1958-02-19,Unknown,AUSTRALIA,M,21,Y
1958.04.00,1958-04-01,Unprovoked,PAPUA NEW GUINEA,M,0,N
1958.04.03,1958-04-03,Unprovoked,SOUTH AFRICA,M,29,Y
1958.04.05,1958-04-05,Unprovoked,SOUTH AFRICA,F,28,Y
1958.04.19,1958-04-19,Unprovoked,TAIWAN,M,29,N
1958.04.30,1958-04-30,Provoked,USA,M,29,N
1958.00.00.i,1958-05-11,Provoked,SAMOA,UNIDENTIFIED,0,N
1958.00.00.c,1958-05-11,Unprovoked,PAPUA NEW GUINEA,M,0,N
1958.00.00.h,1958-05-11,Provoked,PANAMA,M,0,N
1958.00.00.d,1958-05-11,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1958.00.00.b,1958-05-11,Boating,SOUTH AFRICA,UNIDENTIFIED,0,N
1958.00.00.f,1958-05-11,Unprovoked,PAPUA NEW GUINEA,UNIDENTIFIED,0,Y
1958.00.00.e,1958-05-11,Unprovoked,PAPUA NEW GUINEA,M,0,Y
1958.06.02.R,1958-06-02,Unknown,SOUTH AFRICA,M,0,N
1958.06.15,1958-06-15,Unknown,AUSTRALIA,F,0,N
1958.06.17,1958-06-17,Provoked,USA,M,0,N
1958.06.24,1958-06-24,Unprovoked,USA,M,17,N
1958.06.26,1958-06-26,Provoked,USA,M,59,N
1958.07.01,1958-07-01,Unprovoked,PAPUA NEW GUINEA,M,38,Y
1958.07.00.a,1958-07-01,Unprovoked,USA,M,0,N
1958.07.00.b,1958-07-01,Unprovoked,BAHAMAS,M,36,N
1958.07.02,1958-07-02,Provoked,USA,M,20,N
1958.07.04.a,1958-07-04,Sea Disaster,PACIFIC OCEAN,M,31,N
1958.07.04.b,1958-07-04,Sea Disaster,PACIFIC OCEAN,M,0,Y
1958.07.08,1958-07-08,Unprovoked,KENYA,M,21,Y
1958.07.10,1958-07-10,Unprovoked,USA,M,35,Y
1958.07.27.a,1958-07-27,Unprovoked,USA,M,8,N
1958.07.27.b,1958-07-27,Unprovoked,USA,M,12,N
1958.07.31.R,1958-07-31,Unprovoked,MEXICO,F,0,Y
1958.08.01,1958-08-01,Unprovoked,CROATIA,F,0,N
1958.08.31,1958-08-31,Boating,MEXICO,UNIDENTIFIED,0,N
1958.09.01,1958-09-01,Provoked,USA,M,20,N
1958.09.06,1958-09-06,Unprovoked,BAHAMAS,M,42,N
